City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,anka,12.1138,5.9243,79.23,14,13,8.43,NG,1707606870
83,lihue,21.9789,-159.3672,79.84,78,40,6.91,US,1707606870
84,thompson,55.7435,-97.8558,6.96,85,40,2.3,CA,1707606871
85,puerto natales,-51.7236,-72.4875,57.09,74,100,5.26,CL,1707606871
86,richards bay,-28.783,32.0377,71.56,74,100,10.42,ZA,1707606871
87,guerrero negro,27.9769,-114.0611,61.48,55,37,19.57,MX,1707606871
88,morococha,-11.5997,-76.1411,43.5,71,96,1.34,PE,1707606872
89,dauphin,51.1494,-100.0502,19.54,73,100,11.5,CA,1707606872
90,whitehorse,60.7161,-135.0538,37.02,61,20,17.27,CA,1707606873
91,old town,50.087,14.4202,45.93,95,0,8.05,CZ,1707606873
92,caibarien,22.5206,-79.4669,74.52,75,0,25.21,CU,1707606873
93,al burayqah,30.4062,19.5739,66.07,34,100,19.01,LY,1707606874
94,urzhar,47.093,81.6294,25.21,82,87,3.76,KZ,1707606874
95,belyy yar,53.6039,91.3903,31.89,80,0,6.71,RU,1707606874
96,cadale,2.7603,46.3222,76.59,82,36,14.16,SO,1707606874
97,benguela,-12.5763,13.4055,81.59,77,100,8.59,AO,1707606874
98,ghormach,35.7306,63.7826,52.77,25,90,2.86,AF,1707606875
99,papao,-17.75,-149.55,78.48,88,100,33.51,PF,1707606875
100,al bawiti,28.3492,28.8659,54.14,45,0,4.05,EG,1707606875
101,fort mcmurray,56.7268,-111.381,24.39,80,100,9.22,CA,1707606875
102,margaret river,-33.95,115.0667,65.46,88,48,12.46,AU,1707606876
103,eraan,9.0629,117.7016,77.61,85,44,9.35,PH,1707606876
104,uturoa,-16.7333,-151.4333,82.13,89,100,32.91,PF,1707606876
105,nogliki,51.8333,143.1667,-9.65,100,93,5.01,RU,1707606876
106,tvoroyri,61.5556,-6.8111,39.74,70,100,29.84,FO,1707606877
107,al manshah,26.4769,31.8035,55.02,41,0,6.06,EG,1707606877
